id,iso,label,longitude,latitude,
0,OOO,Unknown,-120,-15,
1,ABW,Aruba,-69.97564014,12.51562572,
2,AFG,Afghanistan,66.59216131,34.13402601,
3,AGO,Angola,17.65176878,-12.16742406,
4,AIA,Anguilla,-63.10938413,18.24921342,
5,ALB,Albania,20.06108277,41.14165895,
6,AND,Andorra,1.578177846,42.54627409,
7,ARE,United Arab Emirates,54.27920526,24.18250292,
8,ARG,Argentina,-64.53238504,-35.69727052,
9,ARM,Armenia,45.05490832,40.17841274,
10,ASM,American Samoa,-170.7007316,-14.30571199,
11,ATG,Antigua and Barbuda,-61.78530823,17.07146759,
12,AUS,Australia,134.0227717,-25.69733767,
13,AUT,Austria,13.79777836,47.63185827,
14,AZE,Azerbaijan,48.63459267,40.39205099,
15,BDI,Burundi,29.88518228,-3.261251993,
16,BEL,Belgium,4.675010155,50.61821389,
17,BEN,Benin,2.305714529,9.5030132,
18,BFA,Burkina Faso,-1.693281621,12.10870904,
19,BGD,Bangladesh,90.43212563,23.67372867,
20,BGR,Bulgaria,25.25173912,42.82043677,
21,BHR,Bahrain,50.55186478,26.07230293,
22,BHS,Bahamas,-77.40913589,25.00280696,
23,BIH,Bosnia and Herzegovina,17.83467241,44.14415356,
24,BLR,Belarus,27.96425205,53.46791375,
25,BLZ,Belize,-88.6827351,17.24252477,
26,BMU,Bermuda,-64.74585006,32.31506743,
27,BOL,Bolivia,-64.45209598,-16.73124884,
28,BRA,Brazil,-54.35520661,-11.52463042,
29,BRB,Barbados,-59.55738395,13.18321937,
30,BRN,Brunei Darussalam,114.7213026,4.62207014,
31,BTN,Bhutan,90.46716647,27.42163934,
32,BWA,Botswana,23.85779957,-22.236609,
33,CAF,Central African Republic,20.09023546,6.569655152,
34,CAN,Canada,-98.41680518,57.55048004,
35,CCK,Cocos (Keeling) Islands,96.87249136,-12.15615094,
36,CHE,Switzerland,8.286928795,46.73678129,
37,CHL,Chile,-70.76863432,-37.82938283,
38,CHN,China,104.6911386,38.07325481,
39,CIV,Cote d'Ivoire,-5.571710195,7.536779279,
40,CMR,Cameroon,12.94847414,6.294168487,
41,COD,"Congo, Dem. Rep.",23.41982757,-3.338629596,
42,COG,"Congo, Rep.",14.87973285,-0.72943916,
43,COK,Cook Islands,-159.5494511,-20.4114864,
44,COL,Colombia,-72.64450662,4.187753877,
45,COM,Comoros,43.34826587,-11.65886147,
46,CPV,Cabo Verde,-23.63401006,15.07641152,
47,CRI,Costa Rica,-84.14673626,9.863467407,
48,CUB,Cuba,-78.82187352,21.84697704,
49,CUW,Curacao,-68.96939769,12.19999665,
50,CXR,Christmas Island,105.634878,-10.48390618,
51,CYM,Cayman Islands,-81.25203209,19.31123181,
52,CYP,Cyprus,33.37534601,35.11700416,
53,CZE,Czech Republic,15.38327329,49.74917371,
54,DEU,Germany,10.42617143,51.0830454,
55,DJI,Djibouti,42.6134969,11.75023573,
56,DMA,Dominica,-61.36047195,15.42926986,
57,DNK,Denmark,9.378670542,56.00118818,
58,DOM,Dominican Republic,-70.43495199,18.77954819,
59,DZA,Algeria,2.655846472,28.35096974,
60,ECU,Ecuador,-78.46303261,-1.564272139,
61,EGY,"Egypt, Arab Rep.",30.24013544,26.60517034,
62,ERI,Eritrea,39.52416895,15.25793738,
63,ESH,Western Sahara,-13.67671673,24.6475447,
64,ESP,Spain,-3.651625141,40.36500834,
