var,geo,group,t,n
regin,ARG,Asia,2023 Jan,53297
regin,ARG,Europe,2023 Jan,111618
regin,ARG,Africa,2023 Jan,4224
regin,ARG,Oceania,2023 Jan,5987
regin,ARG,Other Americas,2023 Jan,1205198
regin,ARG,Brazil,2023 Jan,462496
regin,ARG,Canada,2023 Jan,11972
regin,ARG,Colombia,2023 Jan,20415
regin,ARG,Cuba,2023 Jan,454
regin,ARG,Dominican Republic,2023 Jan,618
regin,ARG,Ecuador,2023 Jan,7140
regin,ARG,United States,2023 Jan,80026
regin,ARG,Guatemala,2023 Jan,627
regin,ARG,Haiti,2023 Jan,157
regin,ARG,Honduras,2023 Jan,1769
regin,ARG,Mexico,2023 Jan,8828
regin,ARG,Nicaragua,2023 Jan,414
regin,ARG,Unknown,2023 Jan,78
regin,ARG,Panama,2023 Jan,1108
regin,ARG,El Salvador,2023 Jan,869
regin,ARG,Bolivarian Republic of Venezuela,2023 Jan,15832
regin,ARG,Asia,2023 Feb,50757
regin,ARG,Europe,2023 Feb,108880
regin,ARG,Africa,2023 Feb,3507
regin,ARG,Oceania,2023 Feb,5975
regin,ARG,Other Americas,2023 Feb,1240761
regin,ARG,Brazil,2023 Feb,385637
regin,ARG,Canada,2023 Feb,12493
regin,ARG,Colombia,2023 Feb,14819
regin,ARG,Cuba,2023 Feb,341
regin,ARG,Dominican Republic,2023 Feb,565
regin,ARG,Ecuador,2023 Feb,7195
regin,ARG,United States,2023 Feb,75554
regin,ARG,Guatemala,2023 Feb,502
regin,ARG,Haiti,2023 Feb,156
regin,ARG,Honduras,2023 Feb,1542
regin,ARG,Mexico,2023 Feb,7350
regin,ARG,Nicaragua,2023 Feb,415
regin,ARG,Unknown,2023 Feb,65
regin,ARG,Panama,2023 Feb,1053
regin,ARG,El Salvador,2023 Feb,731
regin,ARG,Bolivarian Republic of Venezuela,2023 Feb,14751
regin,ARG,Asia,2023 Mar,39901
regin,ARG,Europe,2023 Mar,113606
regin,ARG,Africa,2023 Mar,2799
regin,ARG,Unknown,2023 Mar,78
regin,ARG,Oceania,2023 Mar,4729
regin,ARG,Other Americas,2023 Mar,1174741
regin,ARG,Brazil,2023 Mar,403118
regin,ARG,Canada,2023 Mar,11588
regin,ARG,Colombia,2023 Mar,17736
regin,ARG,Cuba,2023 Mar,349
regin,ARG,Dominican Republic,2023 Mar,747
regin,ARG,Ecuador,2023 Mar,9573
regin,ARG,United States,2023 Mar,72117
regin,ARG,Guatemala,2023 Mar,972
regin,ARG,Haiti,2023 Mar,192
regin,ARG,Honduras,2023 Mar,1318
regin,ARG,Mexico,2023 Mar,10497
regin,ARG,Nicaragua,2023 Mar,410
regin,ARG,Panama,2023 Mar,1139
regin,ARG,El Salvador,2023 Mar,836
regin,ARG,Bolivarian Republic of Venezuela,2023 Mar,15182
regin,ARG,Asia,2023 Apr,16231
regin,ARG,Europe,2023 Apr,67082
regin,ARG,Africa,2023 Apr,740
regin,ARG,Oceania,2023 Apr,2946
regin,ARG,Other Americas,2023 Apr,1275451
regin,ARG,Brazil,2023 Apr,429575
regin,ARG,Canada,2023 Apr,3897
regin,ARG,Colombia,2023 Apr,17852
regin,ARG,Cuba,2023 Apr,384
regin,ARG,Dominican Republic,2023 Apr,492
regin,ARG,Ecuador,2023 Apr,7291
regin,ARG,United States,2023 Apr,31914
regin,ARG,Guatemala,2023 Apr,727
regin,ARG,Haiti,2023 Apr,196
regin,ARG,Honduras,2023 Apr,385
regin,ARG,Mexico,2023 Apr,9237
regin,ARG,Nicaragua,2023 Apr,166
regin,ARG,Unknown,2023 Apr,97
regin,ARG,Panama,2023 Apr,1070
regin,ARG,El Salvador,2023 Apr,607
regin,ARG,Bolivarian Republic of Venezuela,2023 Apr,15934
regin,ARG,Asia,2023 May,14088
regin,ARG,Europe,2023 May,43986
regin,ARG,Africa,2023 May,731
regin,ARG,Unknown,2023 May,70
regin,ARG,Oceania,2023 May,2074
regin,ARG,Other Americas,2023 May,1207130
regin,ARG,Brazil,2023 May,409493
regin,ARG,Canada,2023 May,2592
regin,ARG,Colombia,2023 May,13846
regin,ARG,Cuba,2023 May,373
regin,ARG,Dominican Republic,2023 May,553
regin,ARG,Ecuador,2023 May,5946
regin,ARG,United States,2023 May,24581
regin,ARG,Guatemala,2023 May,1043
regin,ARG,Haiti,2023 May,159
regin,ARG,Honduras,2023 May,364
regin,ARG,Mexico,2023 May,7060
regin,ARG,Nicaragua,2023 May,136
regin,ARG,Panama,2023 May,1114
regin,ARG,El Salvador,2023 May,503
regin,ARG,Bolivarian Republic of Venezuela,2023 May,13627
regin,ARG,Asia,2023 Jun,12630
regin,ARG,Europe,2023 Jun,33947
regin,ARG,Africa,2023 Jun,432
regin,ARG,Unknown,2023 Jun,68
regin,ARG,Oceania,2023 Jun,1838
regin,ARG,Other Americas,2023 Jun,1139603
regin,ARG,Brazil,2023 Jun,463988
regin,ARG,Canada,2023 Jun,1761
regin,ARG,Colombia,2023 Jun,15807
regin,ARG,Cuba,2023 Jun,341
regin,ARG,Dominican Republic,2023 Jun,325
regin,ARG,Ecuador,2023 Jun,5331
regin,ARG,United States,2023 Jun,27912
regin,ARG,Guatemala,2023 Jun,857
regin,ARG,Haiti,2023 Jun,141
regin,ARG,Honduras,2023 Jun,356
regin,ARG,Mexico,2023 Jun,6387
regin,ARG,Nicaragua,2023 Jun,138
regin,ARG,Panama,2023 Jun,1035
regin,ARG,El Salvador,2023 Jun,371
regin,ARG,Bolivarian Republic of Venezuela,2023 Jun,13050
regin,ARG,Asia,2023 Jul,13949
regin,ARG,Europe,2023 Jul,47928
regin,ARG,Africa,2023 Jul,608
regin,ARG,Unknown,2023 Jul,79
regin,ARG,Oceania,2023 Jul,1650
regin,ARG,Other Americas,2023 Jul,1299681
regin,ARG,Brazil,2023 Jul,599004
regin,ARG,Canada,2023 Jul,2392
regin,ARG,Colombia,2023 Jul,14182
regin,ARG,Cuba,2023 Jul,263
regin,ARG,Dominican Republic,2023 Jul,350
regin,ARG,Ecuador,2023 Jul,7619
regin,ARG,United States,2023 Jul,29300
regin,ARG,Guatemala,2023 Jul,570
regin,ARG,Haiti,2023 Jul,166
regin,ARG,Honduras,2023 Jul,326
regin,ARG,Mexico,2023 Jul,8816
regin,ARG,Nicaragua,2023 Jul,182
regin,ARG,Panama,2023 Jul,1250
regin,ARG,El Salvador,2023 Jul,482
